name,address,phone,email,website,instagram,facebook,cuisine,city,whatsapp_link,email_draft
Hashtag Foods,Jammu,9086090860,,,,,Fast Food,Jammu,https://wa.me/919086090860?text=Hi%20Hashtag%20Foods%2C%0A%0AI%20noticed%20Hashtag%20Foods%20%28Fast%20Food%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Mosaic Restaurant,"Hotel Country Inn & Suites, Jammu",01912435000,,,,,Fine Dining,Jammu,https://wa.me/911912435000?text=Hi%20Mosaic%20Restaurant%2C%0A%0AI%20noticed%20Mosaic%20Restaurant%20%28Fine%20Dining%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
The White Hotel Katra,"Off Katra, Vaishnodevi",9906903125,resv@whitehotels.in,http://whitehotels.in/,,,Fine Dining,Katra,https://wa.me/919906903125?text=Hi%20The%20White%20Hotel%20Katra%2C%0A%0AI%20noticed%20The%20White%20Hotel%20Katra%20%28Fine%20Dining%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for The White Hotel Katra

Hi The White Hotel Katra,

I noticed The White Hotel Katra (Fine Dining) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
"Welcomhotel By ITC Hotels, Katra",Katra,01991233333,reservations@itchotels.com,,,,Fine Dining,Katra,https://wa.me/911991233333?text=Hi%20Welcomhotel%20By%20ITC%20Hotels%2C%20Katra%2C%0A%0AI%20noticed%20Welcomhotel%20By%20ITC%20Hotels%2C%20Katra%20%28Fine%20Dining%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Welcomhotel By ITC Hotels, Katra

Hi Welcomhotel By ITC Hotels, Katra,

I noticed Welcomhotel By ITC Hotels, Katra (Fine Dining) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
Holiday Inn Katra,Katra,01991350350,info@holidayinnkatra.com,,,,All Day Dining,Katra,https://wa.me/911991350350?text=Hi%20Holiday%20Inn%20Katra%2C%0A%0AI%20noticed%20Holiday%20Inn%20Katra%20%28All%20Day%20Dining%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Holiday Inn Katra

Hi Holiday Inn Katra,

I noticed Holiday Inn Katra (All Day Dining) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
Cafe Delhi Heights DLF Avenue,"DLF Avenue, Saket, New Delhi",8470054033,cdhsaket@gmail.com,https://stores.cafedelhiheights.com/,,,Cafe,Delhi,https://wa.me/918470054033?text=Hi%20Cafe%20Delhi%20Heights%20DLF%20Avenue%2C%0A%0AI%20noticed%20Cafe%20Delhi%20Heights%20DLF%20Avenue%20%28Cafe%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Cafe Delhi Heights DLF Avenue

Hi Cafe Delhi Heights DLF Avenue,

I noticed Cafe Delhi Heights DLF Avenue (Cafe) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
Mia Bella,"Hauz Khas Village, New Delhi",8448201901,,,https://www.instagram.com/miabellahkv/,,Mediterranean,Delhi,https://wa.me/918448201901?text=Hi%20Mia%20Bella%2C%0A%0AI%20noticed%20Mia%20Bella%20%28Mediterranean%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Hauz Khas Social,"Hauz Khas Village, New Delhi",7838652814,feedback@impresario.in,https://socialoffline.in/restaurant/hauz-khas-social/,,,"North Indian, Chinese",Delhi,https://wa.me/917838652814?text=Hi%20Hauz%20Khas%20Social%2C%0A%0AI%20noticed%20Hauz%20Khas%20Social%20%28North%20Indian%2C%20Chinese%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Hauz Khas Social

Hi Hauz Khas Social,

I noticed Hauz Khas Social (North Indian, Chinese) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
Cafe Dori,"Chhatarpur, New Delhi",01126302488,cafedori@nappa-dori.com,https://www.nappadori.com/cafe-dori,,,Cafe,Delhi,https://wa.me/911126302488?text=Hi%20Cafe%20Dori%2C%0A%0AI%20noticed%20Cafe%20Dori%20%28Cafe%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Cafe Dori

Hi Cafe Dori,

I noticed Cafe Dori (Cafe) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
Toit Brewpub,"Indiranagar, Bangalore",9019713388,toitblr@toit.in,https://toit.in/,,,Brewpub,Bangalore,https://wa.me/919019713388?text=Hi%20Toit%20Brewpub%2C%0A%0AI%20noticed%20Toit%20Brewpub%20%28Brewpub%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Toit Brewpub

Hi Toit Brewpub,

I noticed Toit Brewpub (Brewpub) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
The Fatty Bao,"Indiranagar, Bangalore",08044114499,,,https://www.instagram.com/thefattybaoindia/,,Asian,Bangalore,https://wa.me/918044114499?text=Hi%20The%20Fatty%20Bao%2C%0A%0AI%20noticed%20The%20Fatty%20Bao%20%28Asian%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
ARAKU Coffee,"Indiranagar, Bangalore",07993335233,,https://www.arakucoffee.in/,,,Cafe,Bangalore,https://wa.me/917993335233?text=Hi%20ARAKU%20Coffee%2C%0A%0AI%20noticed%20ARAKU%20Coffee%20%28Cafe%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Dreamzinn Grill & Dine,"Old Ambala Road, Zirakpur, Chandigarh",9875998801,,,,,Grill & Dine,Chandigarh,https://wa.me/919875998801?text=Hi%20Dreamzinn%20Grill%20%26%20Dine%2C%0A%0AI%20noticed%20Dreamzinn%20Grill%20%26%20Dine%20%28Grill%20%26%20Dine%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Shaffa,"Madhya Marg Sector 26, Chandigarh",01725002626,,,,,Restaurant,Chandigarh,https://wa.me/911725002626?text=Hi%20Shaffa%2C%0A%0AI%20noticed%20Shaffa%20%28Restaurant%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Cafe Delhi Heights Elante,"Elante Mall, Chandigarh",9873204033,cdhelante@gmail.com,,,,Cafe,Chandigarh,https://wa.me/919873204033?text=Hi%20Cafe%20Delhi%20Heights%20Elante%2C%0A%0AI%20noticed%20Cafe%20Delhi%20Heights%20Elante%20%28Cafe%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Cafe Delhi Heights Elante

Hi Cafe Delhi Heights Elante,

I noticed Cafe Delhi Heights Elante (Cafe) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
By the Mekong,"St. Regis Mumbai, Lower Parel",02261628000,,,,,Fine Dining,Mumbai,https://wa.me/912261628000?text=Hi%20By%20the%20Mekong%2C%0A%0AI%20noticed%20By%20the%20Mekong%20%28Fine%20Dining%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Delhi Highway,"Times Square, Andheri East",02228596666,,,https://www.instagram.com/delhihighway/,,Fine Dining,Mumbai,https://wa.me/912228596666?text=Hi%20Delhi%20Highway%2C%0A%0AI%20noticed%20Delhi%20Highway%20%28Fine%20Dining%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Celini,"Grand Hyatt Mumbai, Santacruz East",02266761234,,,,,Fine Dining,Mumbai,https://wa.me/912266761234?text=Hi%20Celini%2C%0A%0AI%20noticed%20Celini%20%28Fine%20Dining%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,
Le15 Patisserie,"Colaba, Mumbai",9769286544,orders@le15.com,https://le15.com/,,,Patisserie,Mumbai,https://wa.me/919769286544?text=Hi%20Le15%20Patisserie%2C%0A%0AI%20noticed%20Le15%20Patisserie%20%28Patisserie%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Le15 Patisserie

Hi Le15 Patisserie,

I noticed Le15 Patisserie (Patisserie) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
Theobroma,"Colaba, Mumbai",02222830101,contact@theobroma.in,https://theobroma.in/,,,Bakery,Mumbai,https://wa.me/912222830101?text=Hi%20Theobroma%2C%0A%0AI%20noticed%20Theobroma%20%28Bakery%29%20and%20thought%20you%20might%20love%20%2ADigity%2A%20%E2%80%93%20a%20simple%20way%20to%20take%20your%20menu%20digital.%0A%0A%E2%9C%85%20QR%20code%20menu%0A%E2%9C%85%20Easy%20to%20update%0A%E2%9C%85%20Orders%20%26%20reservations%0A%E2%9C%85%20Showcase%20your%20contact%20%26%20social%20links%0A%0AWould%20you%20like%20a%20free%20demo%3F%20I%20can%20set%20up%20a%20trial%20menu%20for%20you.%0A%0ARegards%2C%0AZakir%20Rashid%0A9103173043,"Subject: Digity menu for Theobroma

Hi Theobroma,

I noticed Theobroma (Bakery) and thought you might love *Digity* – a simple way to take your menu digital.

✅ QR code menu
✅ Easy to update
✅ Orders & reservations
✅ Showcase your contact & social links

Would you like a free demo? I can set up a trial menu for you.

Regards,
Zakir Rashid
9103173043"
